primary_field,type,syntax,semantic
ssrcode,basic,"'-' ""SSRCODE"" ('A' ! 4{ '0' | '1' | '2' | '3' | '4' | '5' |  '6' | '7' }4 | ""REQ"" )","Either;  - SSR mode and code, as ICAO field 7 elements b and c.  or  - the letters ""REQ"" meaning that the code is requested."
star,basic,"'-' ""STAR"" point ! 1{DIGIT}1 ! 0{ALPHA}1",Identification of a Standard Arrival Route.
starttime,basic,"'-' ""STARTTIME"" day ! timehhmm",Time at which a period of time begins.
stay,compound,"'-' ""STAY"" stayident time ((adid adid) | (ptid ptid)  (adid | ptid) | (ptid adid)) [ptspeed] [ptrfl]","Indication in the route of flight of a period of ‘special activity’  when the aircraft will ‘stay’ in the area defined by the points  and/or aerodromes given for the length of time indicated, i.e.  training, mid-air re-fuelling, photographic mission etc.  NOTE: The order in which the points and/or aerodromes are  given is significant"
stayinfo,compound,"'-' ""STAYINFO"" stayident remark","Information concerning the type of activity (training,  photographic mission, etc.) to be performed during a ‘stay’  period in the route of a flight."
sts,basic,"'-' ""STS"" flightplanstatus",As ICAO Field 18 STS/. Reason for special handling.
sur,basic,‘-‘ “SUR” 1{LIM_CHAR}50,As ICAO Field 18 SUR/. Used to provide surveillance  applications or capabilities not specified in -SEQPT”.
talt,basic,‘-‘ “TALT” (1 {LIM_CHAR} 100,As ICAO Field 18 TALT/. An indication of the take-off  alternate aerodrome
taxitime,basic,"'-' ""TAXITIME"" timehhmm",The difference in time between the ‘off blocks time’ and the  ‘take-off time’. The times referred to may be actual or  estimated depending upon the context.
tfcvol,basic,"'-' ""TFCVOL"" 1 {ALPHANUM} 15",Identification of a ‘traffic volume’.
tfv,compound,"'-' ""TFCVOL"" tfvid refloc flowlst flblock",Description of a traffic volume.
timesep,,"'-' ""TIMESEP"" arcid timeint",Time separation in minutes between a coordinated aircraft  and a preceeding aircraft.
timestamp,basic,"'-' ""TIMESTAMP"" datetime ! seconds",The time at which an event occurred.
title,basic,"'-' ""TITLE"" titleid",Message title.
tom,basic,"'-' ""TOM"" timehhmmss",The calculated time at which a flight should leave the  metering fix.
ttg,basic,"'-' ""TTG"" timemmss_elapsed",Number of minutes and seconds that the flight has to gain  before reaching the metering fix.
ttl,basic,‘-’ “TTL” timemmss_elapsed,Number of minutes and seconds that the flight has to lose  before reaching the metering fix.
ttleet,basic,"'-' ""TTLEET"" timehhmm_elapsed",Total estimated elapsed time in hours and minutes.
tto,compound,‘-‘ “TTO” (adid | ptid) to [fl],Target Time Over an aerodrome or a point on the route of  flight.
ttot,basic,"'-' ""TTOT"" timehhmm",Target take-off time.
twyarr,basic,"'-' ""TWYARR"" 1{LIM_CHAR}10",Arrival Taxiway
twydep,basic,"'-' ""VALIDEND"" 1{LIM_CHAR}10",Departure Taxiway
typz,basic,"'-' ""TYPZ"" 1 {LIM_CHAR} 60",Type of aircraft when no ICAO code exists.
unit,compound,"'-' ""UNIT"" unitid [addrinfo]","Information concerning an ‘air navigation unit’ i.e. an ATC unit,  an aircraft operator or flight plan originator. Contains the  identification of the unit and optionally address data."
valfrom,basic,"'-' ""VALFROM"" date","First date from which the flight is scheduled to operate (in  year, month and day)."
valfromk,basic,"'-' ""VALFROMK"" ( date | datewldcrd )","First date from which the flight is scheduled to operate, used  as database key in a query, may be wildcarded.  Must be a valid date or a combination of a valid date and  wild-card characters."
valfromold,basic,"'-' ""VALFROMOLD"" date","The ""previous"" ""valfrom"" date. Used as a database key.  Where the start of validity date is to be amended, the new  value will be given in ""VALFROM""."
validitydate,basic,"'-' ""VALIDITYDATE"" date",Date of validity.
valuntil,basic,"'-' ""VALUNTIL"" date","Last date from which the flight is scheduled to operate (in  year, month and day)."
valuntilk,basic,"'-' ""VALUNTILK"" ( date | datewldcrd )","Last date from which the flight is scheduled to operate, used  as database key in a Query, may be wildcarded.  Must be a valid date or a combination of a valid date and  wild-card characters."
valuntilold,basic,"'-' ""VALUNTILOLD"" date","The ""previous"" ""valuntil"" date. Used as a database key.  Where the end of validity date is to be amended, the new  value will be given in ""VALUNTIL""."
vec,compound,"'-' ""VEC"" fl eto reldist",An unpublished point along the route of flight where a  change to the trajectory (vector point) is performed. Typically  this may be the initiation or achievement of a climb or  descent phase of flight.
winddir,basic,‘-‘ “WINDDIR” 3{DIGIT}3,The wind direction expressed as a three digit number in the  range 001 to 360.
windspeed,basic,‘-‘ “WINDSPEED” spd,The wind speed.
wktrc,basic,"'-' ""WKTRC"" waketurbcat",Wake turbulence category.
