primary_field,type,syntax,semantic
fltrul,basic,"'-' ""FLTRUL"" flightrule","Flight rule, as ICAO field 8."
fltstate,basic,"'-' ""FLTSTATE"" atfmflightstate",The ATFM status of a flight.
flttyp,basic,"'-' ""FLTTYP"" flighttype","Type of flight, as ICAO field 8."
fmp,basic,"'-' ""FMP"" 4{ ALPHA }4",Identifier of a ‘Flow Management Position’.
fmplist,compound,"'-' ""BEGIN"" ""FMPLIST"" fmp reglist   '-' ""END"" ""FMPLIST""",List of FMPs and their associated ATFM regulations.
freq,basic,"'-' ""FREQ"" rtf",Radio frequency.
frmgroup,compound,"'-' ""BEGIN"" ""FRMGROUP"" { frmfli } '-' ""END""  ""FRMGROUP""",List of flights inside a formation group.
fstday,basic,"'-' ""FSTDAY"" date",First day of operation for a repetitive flight plan. This is used  to give the actual first day from which flight plans will be  generated from a RPL (see valfrom field) or the first day on  which an amendment to an RPL is effective.
furthrte,basic,"'-' ""FURTHRTE"" {LIM_CHAR}",The further routing of a flight. For use within messages  containing estimate data to indicate the further routing of the  flight following the estimate point. It may contain only the  next point or the complete further routing until the  destination.
geo,compound,"'-' ""GEO"" geoid lattd longtd","Point along a route defined by latitude and longitude and  given in the flight plan, as GEOxx (where xx is a sequence  number)."
groundspeed,basic,‘-‘ “GROUNDSPEED” spd,The speed relative to the ground.
ifp,basic,"'-' ""IFP"" ifpvalue",An indicator or flag used by IFPS to warn or to notify ATC  units of additional information concerning a flight plan.
ifpdlist,compound,"'-' ""BEGIN"" ""IFPDLIST"" 1 { ifpdlong } '-' ""END""  ""IFPDLIST""",List of complete IFPDs matching the database key given in a  query message.  Contains a list of complete information for each individual  flight which matches given query keys.
ifpdslist,compound,"'-' ""BEGIN"" ""IFPDSLIST"" 1 { ifpdsum } '-' ""END""  ""IFPDSLIST""",List of ifpdsum matching the database key given in a query  message.  Contains a list of summarised information for each individual  flight which matches given query keys.
ifplid,basic,"'-' ""IFPLID"" 2{ALPHA}2 ! 8{ DIGIT }8","A unique flight plan identifier, assigned by the IFPS."
ifpsdiscrepancy,basic,‘-‘ “IFPSDISCREPANCY”  1{ifpsdiscrepancyvalue}3,Provides an indication of the information item(s) within the  flight plan that are inconsistent with the information held  within the system originating the message.
ifpsmod,basic,"'-' ""IFPSMOD"" fieldid modifind","An indication given by IFPS of those fields which have been  modified, and the nature of the modification."
ifpuresp,basic,"'-' ""IFPURESP"" ifpuid",Identifier of the IFPU which is responsible for a query. It  must process the query and answer to it.
ignore,compound,"'-' “BEGIN” ""IGNORE""  { (condition | condition  ptid ptid) }’-’ “END” “IGNORE”","Indication of conditions which have been 'ignored' or by- passed in the processing of the message concerned. An  'ignored' condition may be limited to a specific portion of the  route delimited by the route points given. A condition may,  for example, be a time restriction (route access condition),  flight level restriction or TOS violation."
iobd,basic,"'-' ""IOBD"" date","The 'Initial' Off Block Date - the 'off-block date' as given in  the FPL and updated by flight plan associated messages  (DLA, CHG, etc.). This is the reference date used for  accessing the flight plan in the database and is the only 'off- block date' known by the concerned ATS units.  Note: The IOBD is not affected by changes requested or  notified through the exchange of ATFM messages."
iobt,basic,"'-' ""IOBT"" timehhmm","The 'Initial' Off Block Time - the 'off-block time' as given in  the FPL and updated by flight plan associated messages  (DLA, CHG, etc.). This is the reference time used for  accessing the flight plan in the database and is the only 'off- block time' known by the concerned ATS units.  Note: The IOBT is not affected by changes requested or  notified through the exchange of ATFM messages."
irules,basic,"'-' ""IRULES"" rulechg flighttypechg ifpsprocess","Contains the initial flight rules, initial flight type and initial  IFPS processing."
lacdr,compound,"'-' ""BEGIN"" ""LACDR"" { airroute } '-' ""END""  ""LACDR""",List of Active Conditional Routes.
latsa,compound,"'-' ""BEGIN"" ""LATSA"" { airspace } '-' ""END""  ""LATSA""",List of Active Temporary Segregated Areas.
lcatsrte,compound,"'-' ""BEGIN"" ""LCATSRTE"" { airroute } '-' ""END""  ""LCATSRTE""",List of Closed ATS Routes.
lfir,compound,"'-' ""BEGIN"" ""LFIR"" 1{ fir ( lacdr | ( lacdr lcatsrte  latsa lrar lrca) ) } '-' ""END"" ""LFIR""","List of FIRs, including the name of the region followed by  either the list of Available Conditional Routes or the lists of  Available Conditional Routes, Closed ATS Routes, Active  Temporary Segregated Areas, Reduced Airspace  Restrictions and Reduced Co-ordination Airspaces."
lrar,compound,"'-' ""BEGIN"" ""LRAR"" { airspace } '-' ""END"" ""LRAR""",List of Reduced Airspace Restrictions.
lrca,compound,"'-' ""BEGIN"" ""LRCA"" { airspace } '-' ""END"" ""LRCA""",List of Reduced Co-ordination Areas.
lstday,basic,"'-' ""LSTDAY"" date",Last day of operation for a repetitive flight plan. This is used  to give the actual last day from which flight plans will be  generated from a RPL (see valuntil field) or the last day on  which an amendment to an RPL is effective   =>  Must be a date between VALFROM and VALUNTIL.
mach,basic,"'-' ""MACH"" machnumber [ point ]","Mach number, in hundredths of a unit and optionally the  point at which the change is requested."
mesvalperiod,basic,"'-' ""MESVALPERIOD"" fulldatetime fulldatetime","The validity period of a message, inclusive of the times  given."
mfx,basic,"'-' ""MFX"" point",The identifier of the metering fix.
minlineup,basic,"'-' ""MINLINEUP"" timehhmm","The minimum time required for a flight, which has declared  itself ready to depart, to get from it's present holding position  to airborne."
modeltyp,basic,"'-' ""MODELTYP” atfmmodeltype",The type of flight model included in the message.
modifnb,basic,"'-' ""MODIFNB"" 1{ DIGIT }3",Number of modifications that were necessary to correct an  original message.
msgref,compound,"'-' ""MSGREF""  sender recvr seqnum","Reference data for associated, previously transmitted  messages."
msgsum,compound,"'-' ""BEGIN"" ""MSGSUM"" { [arcid] [adep] [ades]  [eobt] [eobd] [orgn] [days] [valfrom] [valuntil] }  '-' ""END"" MSGSUM""","Contains a summary of a message.  Note: Must contain one or more* of the fields arcid, adep,  ades, eobt and orgn but without repetition.  * one or more of the fields may have been missing or  garbled in received message"
msgtxt,basic,"'-' ""MSGTXT"" icaomsg",Contains a complete ICAO message.
msgtyp,basic,"'-' ""MSGTYP"" titleid",Contains the title of the referenced or copied message.  May be any valid ADEXP message title (see Annex B).
nav,basic,"'-' ""NAV"" 1 {LIM_CHAR} 50",As ICAO field 18 NAV/.
nbarc,basic,"'-' ""NBARC"" 1{ DIGIT }2",Number of aircraft if more than one.
nbrfpd,basic,"'-' ""NBRFPD"" 1{ DIGIT }3",Number of flight plan data matching a query.  Must be between 0 and 999.
nbt,basic,"'-' ""NBT"" timehhmm",The time before which the aircraft shall not enter the ICAO  NAT Region.
nlt,basic,"'-' ""NLT"" timehhmm",The time after which the aircraft shall not enter the ICAO  NAT Region.
newctot,basic,"'-' ""NEWCTOT"" timehhmm","A new Calculated Take-Off Time, as updated by ETFMS."
newendtime,basic,"'-' ""NEWENDTIME"" day ! timehhmm",A new time at which a period of time ends.
neweobd,basic,"'-' ""NEWEOBD""  date",A new Estimated Off-Block Date.
neweobt,basic,"'-' ""NEWEOBT"" timehhmm",A new Estimated Off-Block Time.
newptot,basic,"'-' ""NEWPTOT"" timehhmm",A new Provisional Take-Off Time.
newrte,basic,"'-' ""NEWRTE"" { LIM_CHAR }",A new route between the same aerodromes of departure  and arrival as in the original message.
newstarttime,basic,‘-’ “NEWSTARTTIME” day ! timehhmm,A new time at which a period of time starts.
nextssrcode,basic,"'-' ""NEXTSSRCODE"" ‘A’ !   4{‘0’ | ‘1’ | ‘2’ | ‘3’ | ‘4’ | ‘5’ | ‘6’ | ‘7’}4",SSR Mode and Code to be used by the flight after the SSR  Mode and Code given in field ‘SSRCODE’.
obtlimit,compound,‘-‘ “OBTLIMIT” valperiod,"An indication of the time period during which the off-block  time together with the taxitime and route, as referenced, is  valid with regard to published constraints such as  route/airspace availability, as known at the reference  timestamp. It should be noted that the published constraints  referred to do not include any tactical traffic management  measures to which the trajectory may be subject."
oldmsg,basic,"'-' ""OLDMSG"" { CHARACTER }","A complete original message, exactly (and in the same  format) as it was received."
opr,basic,"'-' ""OPR"" 1 { LIM_CHAR }","Name of the company or agency operating the flight, as  ICAO Field 18 element OPR/."
orgmsg,basic,"'-' ""ORGMSG"" titleid","The ADEXP Title of an erroneous message, as it was  received."
orgn,basic,"'-' ""ORGN"" 1{LIM_CHAR}30",The address of the originator of a message.
orgnid,basic,"'-' ""ORGNID"" originatorid",The designator of an addressee having originated a  message.
orgrte,basic,"'-' ""ORGRTE"" { LIM_CHAR }",Original route between the aerodromes of departure and  arrival.
origin,compound,"'-' ""ORIGIN"" networktype | fac | (networktype  fac)",Information concerning the originator of a message. May  include the type of network used or the address concerned  or both.
origindt,basic,"'-' ""ORIGINDT"" datetime",Date and time of receipt of original message by the IFPS.  Note: This is not the filing time of the message.  Format is YYMMDDHHMM.
part,compound,"'-' ""PART"" num lastnum","Identification of the part of the message identified by the title,  filing time and validity period."
pbn,basic,‘-‘ “PBN” pbncode,As in ICAO Field 18 PBN/. Used to indicate RNAV and/or  performance based navigation capabilities.
per,basic,"'-' ""PER"" performancecategory","Aircraft performance category, as ICAO field 18 PER/."
pntsector,basic,‘-’ “PNTSECTOR” 1{ALPHANUM}8,Identifier of the sector that originates the point action.
position,compound,"'-' ""POSITION"" (adid | ptid)[(to | sto)] [fl] [cto]",The position of an aircraft given as either a point or an  aerodrome with optional time and flight level information.
prevarcid,basic,"'-' ""PREVARCID"" aircraftid",The previous callsign used.
prevssrcode,basic,"'-' ""PREVSSRCODE"" ‘A‘ ! 4{ '0' | '1' | '2' | '3' | '4' |  '5' | '6' | '7' }4",SSR Mode and Code used by the flight immediately prior to  the SSR Mode and Code given in field '-SSRCODE'.
prf1,basic,‘-‘ “PRF1” 1{DIGIT}6,An indicator used by NM for statistical analysis
prf2,basic,‘-‘ “PRF2” 1{DIGIT}8,An indicator used by NM for statistical analysis
prf3,basic,‘-‘ “PRF3” 1{DIGIT}8,An indicator used by NM for statistical analysis
prf4,basic,‘-‘ “PRF4” 1{DIGIT}8,An indicator used by NM for statistical analysis
propfl,compound,"'-' ""PROPFL"" tfl [sfl]",A flight level proposed by an accepting unit for the transfer of  a flight.
ptot,basic,"'-' ""PTOT"" timehhmm",Provisional Take-Off Time. Provisional reference time for an  ATFM slot.
qrorgn,basic,"'-' ""QRORGN"" originatorid",Identifier of the originator of the Query.
ralt,basic,"'-' ""RALT"" (1 {LIM_CHAR} 100",As in ICAO Field 18 RALT/. An indication of the en-route  alternate.
rate,basic,"'-' ""RATE"" (((""C"" | ""D"") ! (2{DIGIT}2 | “ZZZ”)) |  ""ZZZ"" )","Rate of change: the climb or descent rate assigned to an  aircraft, expressed in hundreds of feet per minute.  => Must be 'C' indicating a climb rate, or 'D' indicating a  descent rate, followed by a two digit number indicating the  assigned rate in hundreds of feet per minute. Alternatively  the designator 'ZZZ' may be used to indicate that a  previously assigned rate of climb/descent no longer applies.  ‘C’ or ‘D’ followed by ‘ZZZ’ can be used to indicate that a  flight is climbing or descending with an unknown rate."
ratelimit,basic,"'-' ""RATELIMIT"" 1{ “MIN” |  “EQL” |  “MAX” }1","Indication of a minimum, fixed or maximum value for a rate  of climb/descent."
ratepdlst,compound,"'-' ""BEGIN"" ""RATEPDLST"" 1 {rateperiod} '-'  ""END"" ""RATEPDLST""",List of time periods and their respective flow rates for an  ATFM condition.
rdystate,basic,"'-' ""RDYSTATE"" readyforimpr ! atfmrdystate",The ready status of a flight.
reason,basic,"'-' ""REASON"" 4{ALPHA}20",Information in support of the message dependent on its  context.
ref,compound,"'-' ""REF"" refid ptid brng distnc",Point along a route which is defined in terms of magnetic  bearing and distance from another point and is given the  designator REFxx.
refdata,compound,"'-' ""REFDATA"" sender recvr seqnum",Reference data for message being transmitted.
reg,basic,"'-' ""REG"" 1{ LIM_CHAR }50","Registration markings, as ICAO field 18 REG/. In the case of  a formation flight more than one registration may be  provided."
regcause,basic,"'-' ""REGCAUSE"" regulationreason  iatalocationcat iatadelaycode",The NM and IATA coded designators indicating the reason  for a regulation.
regloc,basic,"'-' ""REGLOC"" 1 {LIM_CHAR} 15",Reference location for an ATFM Regulation.
regul,basic,"'-' ""REGUL"" regulid",Identifier of a Regulation concerning a flight.
rejctot,basic,"'-' ""REJCTOT"" timehhmm",Rejected Calculated Take-Off Time: negative response to a  Slot Improvement Proposal.
release,basic,"'-' ""RELEASE"" 1{ALPHA}1",An indication that the flight is released by the transferring  controller to the receiving controller.  C = released for climb  D = released for descent  T = released for turn  R = released for right turn  L = released for left turn  F = released for all actions
