Ref,Message Intent,Message Element,Resp,Data link system
UM  0,Indicates  that  ATC  cannot  comply  with  the request.,UNABLE,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  1,"Indicates  that  ATC  has  received  the  message and will respond.  Note.—  The  flight  crew  is  informed  that  the  request  is  being  assessed  and  there  will  be  a  short-term  delay  (e.g.  as  appropriate, given the situation, but not to  exceed  10  minutes).  The  exchange  is  not  closed  and  the  request  will  be  responded  to when conditions allow.",STANDBY,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  2,Indicates  that  ATC  has  received  the  request but it has been deferred until later.  Note.—  The  flight  crew  is  informed  that  the request is being assessed and a long- term delay can be expected. The exchange  is  not  closed  and  the  request  will  be  responded to when conditions allow.,REQUEST DEFERRED,N  or  NE,FANS 1/A
UM  3,Indicates  that  ATC  has  received  and  understood the message.,ROGER,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  4,Yes.,AFFIRM,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  5,No,NEGATIVE,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  235,Notification  of  receipt  of  unlawful  interference message.,ROGER 7500,N,N/A  (Urgent)
UM  211,Indicates  that  the  ATC  has  received  the  request  and  has  passed  it  to  the  next  control authority.  FANS 1/A and FANS 1/A-ATN B1.— Uses  UM 169x free text for FANS 1/A aircraft.,REQUEST FORWARDED  N,,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
UM  218,Indicates  to  the  pilot  that  the  request  has  already been received on the ground.,REQUEST  ALREADY  RECEIVED,N,N/A
UM  237,Indicates  that  the  request  cannot  be  responded to by the current unit and that it  should be requested from the next unit.  FANS 1/A and FANS 1/A-ATN B1.— Uses  UM 169ab free text for FANS 1/A aircraft.,REQUEST  AGAIN  WITH  NEXT UNIT,N,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
UM  6,Notification  that  a  level  change  instruction should be expected.  Note.— Avoid use of this message element  due to potential misinterpretation.,EXPECT [level],R,FANS 1/A
UM  7,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  climb at the specified time.  Note.—    The  controller  should  only  use  this  message  to  respond  to  a  flight  crew  request (e.g. WHEN CAN WE EXPECT).,EXPECT  CLIMB  AT  [time],R,FANS 1/A
UM  8,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  climb at the specified position.  Note.—    The  controller  should  only  use  this  message  to  respond  to  a  flight  crew  request (e.g. WHEN CAN WE EXPECT).,EXPECT  CLIMB  AT  [position],R,FANS 1/A
UM  9,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  descent at the specified time.  Note.—    The  controller  should  only  use  this  message  to  respond  to  a  flight  crew  request (e.g. WHEN CAN WE EXPECT).,EXPECT  DESCENT  AT  [time],R,FANS 1/A
UM  10,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  descent at the specified position.  Note.—    The  controller  should  only  use  this  message  to  respond  to  a  flight  crew  request (e.g. WHEN CAN WE EXPECT).,EXPECT  DESCENT  AT  [position],R,FANS 1/A
UM  11,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  cruise climb at the specified time.  Note.— Avoid use of this message element  due to potential misinterpretation.,EXPECT  CRUISE  CLIMB  AT [time],R,FANS 1/A
UM  12,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  cruise climb at the specified position.  Note.— Avoid use of this message element  due to potential misinterpretation.,EXPECT  CRUISE  CLIMB  AT [position],R,FANS 1/A
UM  13,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [time]  EXPECT  CLIMB  TO  [altitude],  as  it  is  reserved  in  ICAO  Doc 4444.",N/A,R,FANS 1/A
UM  14,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [position]  EXPECT  CLIMB  TO  [altitude],  as  it  is  reserved  in  ICAO  Doc 4444.",N/A,R,FANS 1/A
UM  15,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [time]  EXPECT  DESCENT  TO  [altitude],  as  it  is  reserved  in  ICAO  Doc 4444.",N/A,R,FANS 1/A
UM  16,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [position]  EXPECT  DESCENT TO [altitude], as it is reserved  in ICAO Doc 4444.",N/A,R,FANS 1/A
UM  17,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [time]  EXPECT  CRUISE  CLIMB TO [altitude], as it is reserved in  ICAO Doc 4444.",N/A,R,FANS 1/A
UM  18,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [position]  EXPECT  CRUISE  CLIMB TO [altitude], as it is reserved in  ICAO Doc 4444.",N/A,R,FANS 1/A
UM  19,Instruction to maintain the specified level. MAINTAIN [level],,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  20,Instruction  that  a  climb  to  a  specified  level  is  to  commence  and  once  reached  the specified level is to be maintained.,CLIMB  TO  [level]  or  CLIMB  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  21,"Instruction  that  at  the  specified  time  a  climb  to  the  specified  level  is  to  commence and once reached the specified  level is to be maintained.  Note 1.—  Instruction that NOT BEFORE  the specified time, a climb to the specified  level  is  to  commence  and  once  reached  the specified level is to be maintained.  Note  2.—    Precede  this  message  element  with  UM  19  MAINTAIN  [level],  to  prevent  the  premature  execution  of  the  instruction.",AT  [time]  CLIMB  TO  [level] or AT [time] CLIMB  TO  AND  MAINTAIN  [altitude],W/U,FANS 1/A
UM  22,"Instruction that at the specified position a  climb  to  the  specified  level  is  to  commence and once reached the specified  level is to be maintained.  Note  1.—    Instruction  that  AFTER  PASSING  the  specified  position,  a  climb  to the specified level is to commence and  once  reached  the  specified  level  is  to  be  maintained.  Note  2.—    Precede  this  message  element  with  UM  19  MAINTAIN  [level],  to  prevent  the  premature  execution  of  the  instruction.",AT  [position]  CLIMB  TO  [level]  or  AT  [position]  CLIMB  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A
UM  185,(Reserved),N/A,W/U,N/A
UM  23,Instruction  that  a  descent  to  a  specified  level  is  to  commence  and  once  reached  the specified level is to be maintained.,DESCEND  TO  [level]  or  DESCEND  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  24,"Instruction  that  at  a  specified  time  a  descent  to  a  specified  level  is  to  commence and once reached the specified  level is to be maintained.  Note  1.—  Instruction  that  NOT  BEFORE  the  specified  time,  a  descent  to  the  specified  level  is  to  commence,  and  once  reached,  the  specified  level  is  to  be  maintained.  Note  2.—    Precede  this  message  element  with  UM  19  MAINTAIN  [level],  to  prevent  the  premature  execution  of  the  instruction.",AT  [time]  DESCEND  TO  [level]  or  AT  [time]  DESCEND  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A
UM  25,"Instruction that at the specified position a  descent  to  the  specified  level  is  to  commence and once reached the specified  level is to be maintained.  Note  1.—  Instruction  that  AFTER  PASSING the specified position, a descent  to the specified level is to commence and  once  reached  the  specified  level  is  to  be  maintained.  Note  2.—    Precede  this  message  element  with  UM  19  MAINTAIN  [level],  to  prevent  the  premature  execution  of  the  instruction.",AT  [position]  DESCEND  TO [level] or AT [position]  DESCEND  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A
UM  186,(Reserved),N/A,W/U,N/A
UM  26,"Instruction that a climb is to commence at  a  rate  such  that  the  specified  level  is  reached  at  or  before  the  specified  time.   When  this  message  element  is  not  concatenated  with  another  vertical  clearance,  the  level  specified  is  the  assigned level which is to be maintained.  Note.—    Instruction  that  a  climb  is  to  commence at a rate such that the specified  level  is  reached  NOT  LATER  THAN  the  specified time.",CLIMB TO REACH [level]  BY [time],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  27,"Instruction that a climb is to commence at  a  rate  such  that  the  specified  level  is  reached at or before the specified position.   When  this  message  element  is  not  concatenated  with  another  vertical  clearance,  the  level  specified  is  the  assigned level which is to be maintained.  Note.—    Instruction  that  a  climb  is  to  commence at a rate such that the specified  level  is  reached  BEFORE  PASSING  the  specified position.",CLIMB TO REACH [level]  BY [position],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  28,"Instruction that a descent is to commence  at  a  rate  such  that  the  specified  level  is  reached  at  or  before  the  specified  time.   When  this  message  element  is  not  concatenated  with  another  vertical  clearance,  the  level  specified  is  the  assigned level which is to be maintained.  Note.—    Instruction  that  a  descent  is  to  commence at a rate such that the specified  level  is  reached  NOT  LATER  THAN  the  specified time.",DESCEND  TO  REACH  [level] BY [time],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  29,"Instruction that a descent is to commence  at  a  rate  such  that  the  specified  level  is  reached at or before the specified position.   When  this  message  element  is  not  concatenated  with  another  vertical  clearance,  the  level  specified  is  the  assigned level which is to be maintained.  Note.—    Instruction  that  a  descent  is  to  commence at a rate such that the specified  level  is  reached  BEFORE  PASSING  the  specified position.",DESCEND  TO  REACH  [level] BY [position],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  192,"Instruction  that  a  change  of  level  is  to  continue,  but  at  a  rate  such  that  the  specified level is reached at or before the  specified time.",REACH [level] BY [time],W/U,N/A
UM  209,"Instruction  that  a  change  of  level  is  to  continue,  but  at  a  rate  such  that  the  specified level is reached at or before the  specified position.",REACH  [level]  BY  [position],W/U,N/A
UM  30,"Instruction that a level within the defined  vertical  range  specified  is  to  be  maintained.  FANS 1/A-ATN B1.—    FANS 1/A  aircraft  only.    ATN B1  aircraft  accepts  UM  19  MAINTAIN  [level],  where  [level]  is  a  vertical range.",MAINTAIN  BLOCK  [level] TO [level],W/U,FANS 1/A  FANS 1/A- ATN B1
UM  31,"Instruction  that  a  climb  to  a  level  within  the vertical range defined is to commence. FANS 1/A-ATN B1.—    FANS 1/A  aircraft  only.    ATN B1  aircraft  accepts  UM  20  CLIMB  TO  [level],  where  [level]  is  a  vertical range.",CLIMB  TO  AND  MAINTAIN  BLOCK  [level] TO [level],W/U,FANS 1/A  FANS 1/A- ATN B1
UM  32,"Instruction that a descent to a level within  the vertical range defined is to commence. FANS 1/A-ATN B1.—    FANS 1/A  aircraft  only.    ATN B1  aircraft  accepts  UM  23  DESCEND TO  [level], where  [level] is a  vertical range.",DESCEND  TO  AND  MAINTAIN  BLOCK  [level] TO [level],W/U,FANS 1/A  FANS 1/A- ATN B1
UM  34,"Instruction  that  a  cruise  climb  to  the  specified  level  is  to  commence  and  continue  and,  once  reached  the  specified  level is to be maintained.  Note.— Avoid use of this message element  due to potential misinterpretation.",CRUISE  CLIMB  TO  [level],W/U,FANS 1/A
UM  35,Instruction to be used in conjunction with  an  associated  level  instruction  indicating  that  a  cruise  climb  can  commence  once  above the specified level.  Note.— Avoid use of this message element  due to potential misinterpretation.,WHEN  ABOVE  (level)  COMMENCE  CRUISE  CLIMB  or  CRUISE  CLIMB ABOVE [level],W/U,FANS 1/A
UM  219,"Instruction  to  stop  the  climb  at  the  specified  level  and,  once  reached,  this  level  is  to  be  maintained.    The  specified  level  will  be  below  the  previously  assigned level.",STOP CLIMB AT [level],W/U,N/A  (Urgent)
UM  220,"Instruction  to  stop  the  descent  at  the  specified  level  and,  once  reached,  this  level  is  to  be  maintained.    The  specified  level  will  be  above  the  previously  assigned level.",STOP  DESCENT  AT  [level],W/U,N/A  (Urgent)
UM  36,Instruction  that  the  climb  to  the  specified  level should be made at the aircraft’s best  rate.,EXPEDITE  CLIMB  TO  [level],W/U,FANS 1/A
UM  37,Instruction  that  the  descent  to  the  specified  level  should  be  made  at  the  aircraft’s best rate.,EXPEDITE  DESCENT  TO[level],W/U,FANS 1/A
UM  38,"Urgent  instruction  to  immediately  climb  to  the  specified  level  and,  once  reached,  the specified level is to be maintained.",IMMEDIATELY  CLIMB  TO [level],W/U,FANS 1/A  (Distress)
UM  39,"Urgent instruction to immediately descend  to  the  specified  level  and,  once  reached,  the specified level is to be maintained.",IMMEDIATELY  DESCEND TO [level],W/U,FANS 1/A  (Distress)
UM  40,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  IMMEDIATELY  STOP  CLIMB  AT  [altitude],  as  it  is  reserved  in  ICAO  Doc 4444.",(Not defined),Y  or  W/U,FANS 1/A
UM  41,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  IMMEDIATELY  STOP  DESCENT AT [altitude], as it is reserved  in ICAO Doc 4444.",(Not defined),Y  or  W/U,FANS 1/A
UM  171,Instruction  to  climb  at  not  less  than  the  specified rate.,CLIMB  AT  [vertical  rate]  MINIMUM,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  172,Instruction  to  climb  at  not  above  the  specified rate.,CLIMB  AT  [vertical  rate]  MAXIMUM,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  173,Instruction to descend at not less than the  specified rate.,DESCEND  AT  [vertical  rate] MINIMUM,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  174,Instruction  to  descend  at  not  above  the  specified rate.,DESCEND  AT  [vertical  rate] MAXIMUM,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  33,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  CRUISE  [altitude],  as  it  is  reserved in ICAO Doc 4444.",(Not defined),Y  or  W/U,FANS 1/A
UM  42,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  EXPECT  TO  CROSS  [position]  AT  [altitude],  as  it  is  reserved  in  ICAO  Doc 4444.",N/A,R,FANS 1/A
UM  43,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  EXPECT  TO  CROSS  [position]  AT OR ABOVE [altitude], as it is reserved  in ICAO Doc 4444.",N/A,R,FANS 1/A
UM  44,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  EXPECT  TO  CROSS  [position]  AT  OR  BELOW  [altitude],  as  it  is  reserved in ICAO Doc 4444.",N/A,R,FANS 1/A
UM  45,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  EXPECT  TO  CROSS  [position]  AT  AND  MAINTAIN  [altitude],  as  it  is  reserved in ICAO Doc 4444.",N/A,R,FANS 1/A
UM  46,Instruction that the specified position is to  be crossed at the specified level. This may  require the aircraft to modify its climb or  descent profile.,CROSS  [position]  AT  [level],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  47,Instruction that the specified position is to  be crossed at or above the specified level.,CROSS  [position]  AT  OR  ABOVE [level],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  48,Instruction that the specified position is to  be crossed at or below the specified level.,CROSS  [position]  AT  OR  BELOW [level],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  49,Instruction that the specified position is to  be  crossed  at  the  specified  level  and  that  level is to be maintained when reached.,CROSS [position] AT AND  MAINTAIN [level],W/U,FANS 1/A
UM  50,Instruction that the specified position is to  be crossed at a level between the specified  levels.,CROSS  [position]  BETWEEN  [level]  AND  [level],W/U,FANS 1/A
UM  51,Instruction that the specified position is to  be crossed at the specified time.,CROSS  [position]  AT  [time],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  52,Instruction that the specified position is to  be crossed at or before the specified time.,CROSS  [position]  AT  OR  BEFORE [time],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  53,Instruction that the specified position is to  be crossed at or after the specified time.,CROSS  [position]  AT  OR  AFTER [time],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  54,Instruction that the specified position is to  be crossed at a time between the specified  times.,CROSS  [position]  BETWEEN  [time]  AND  [time],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  55,Instruction that the specified position is to  be  crossed  at  the  specified  speed  and  the  specified  speed  is  to  be  maintained  until  further advised.,CROSS  [position]  AT  [speed],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  56,Instruction that the specified position is to  be crossed at a speed equal to or less than  the  specified  speed  and  the  specified  speed  or  less  is  to  be  maintained  until  further advised.,CROSS  [position]  AT  OR  LESS THAN [speed],W/U,FANS 1/A
UM  57,Instruction that the specified position is to  be  crossed  at  a  speed  equal  to  or  greater  than the specified speed and the specified  speed  or  greater  is  to  be  maintained  until  further advised.,CROSS  [position]  AT  OR  GREATER THAN [speed],W/U,FANS 1/A
UM  58,Instruction that the specified position is to  be  crossed  at  the  specified  time  and  the  specified level.,CROSS  [position]  AT  [time] AT [level],W/U,FANS 1/A
UM  59,Instruction that the specified position is to  be crossed at or before the specified time  and at the specified level.,CROSS  [position]  AT  OR  BEFORE [time] AT [level],W/U,FANS 1/A
UM  60,Instruction that the specified position is to  be  crossed  at  or  after  the  specified  time  and at the specified level.,CROSS  [position]  AT  OR  AFTER [time] AT [level],W/U,FANS 1/A
UM  61,"Instruction that the specified position is to  be  crossed  at  the  specified  level  and  speed,  and  the  level  and  speed  are  to  be  maintained.",CROSS [position] AT AND  MAINTAIN  [level]  AT  [speed],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  62,Instruction  that  at  the  specified  time  the  specified  position  is  to  be  crossed  at  the  specified  level  and  the  level  is  to  be  maintained.,AT  [time]  CROSS  [position]  AT  AND  MAINTAIN [level],W/U,FANS 1/A
UM  63,"Instruction  that  at  the  specified  time  the  specified  position  is  to  be  crossed  at  the  specified  level  and  speed,  and  the  level  and speed are to be maintained.",AT  [time]  CROSS  [position]  AT  AND  MAINTAIN  [level]  AT  [speed],W/U,FANS 1/A
UM  64,Instruction  to  fly  a  parallel  track  to  the  cleared  route  at  a  displacement  of  the  specified  distance  in  the  specified  direction.,OFFSET  [specified  distance]  [direction]  OF  ROUTE,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  65,Instruction  to  fly  a  parallel  track  to  the  cleared  route  at  a  displacement  of  the  specified  distance  in  the  specified  direction and commencing at the specified  position.,AT  [position]  OFFSET  [specified  distance]  [direction] OF ROUTE,W/U,FANS 1/A
UM  66,Instruction  to  fly  a  parallel  track  to  the  cleared  route  at  a  displacement  of  the  specified  distance  in  the  specified  direction and commencing at the specified  time.,AT  [time]  OFFSET  [specified  distance]  [direction] OF ROUTE,W/U,FANS 1/A
UM  67,Instruction  that  the  cleared  flight  route  is  to be rejoined.,PROCEED  BACK  ON  ROUTE,W/U,FANS 1/A
UM  68,Instruction  that  the  cleared  flight  route  is  to  be  rejoined  at  or  before  the  specified  position.,REJOIN  ROUTE  BY  [position],W/U,FANS 1/A
UM  69,Instruction  that  the  cleared  flight  route  is  to  be  rejoined  at  or  before  the  specified  time.,REJOIN  ROUTE  BY  [time],W/U,FANS 1/A
UM  70,Notification  that  a  clearance  may  be  issued  to  enable  the  aircraft  to  rejoin  the  cleared  route  at  or  before  the  specified  position.,EXPECT  BACK  ON  ROUTE BY [position],R,FANS 1/A
UM  71,Notification  that  a  clearance  may  be  issued  to  enable  the  aircraft  to  rejoin  the  cleared  route  at  or  before  the  specified  time.,EXPECT  BACK  ON  ROUTE BY [time],R,FANS 1/A
UM  72,Instruction  to  resume  own  navigation  following a period of tracking or heading  clearances.  May  be  used  in  conjunction  with  an  instruction  on  how  or  where  to  rejoin the cleared route.,RESUME  OWN  NAVIGATION,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  73,Instruction to be followed from departure  until the specified clearance limit.,[departure clearance],W/U,FANS 1/A
UM  74,Instruction  to  proceed  directly  from  its  present position to the specified position.,PROCEED  DIRECT  TO  [position],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  75,"Instruction to proceed, when able, directly  to the specified position.",WHEN  ABLE  PROCEED  DIRECT TO [position],W/U,FANS 1/A
UM  76,"Instruction  to  proceed,  at  the  specified  time, directly to the specified position.",AT  [time]  PROCEED  DIRECT TO [position],W/U,FANS 1/A
UM  77,"Instruction  to  proceed,  at  the  specified  position,  directly  to  the  next  specified  position.",AT  [position]  PROCEED  DIRECT TO [position],W/U,FANS 1/A
UM  78,"Instruction  to  proceed,  upon  reaching  the  specified  level,  directly  to  the  specified  position.",AT  [level]  PROCEED  DIRECT TO [position],W/U,FANS 1/A
UM  79,Instruction  to  proceed  to  the  specified  position via the specified route.,CLEARED  TO  [position]  VIA [route clearance],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  80,Instruction  to  proceed  via  the  specified  route.,CLEARED  [route  clearance],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  81,Instruction to proceed in accordance with  the specified procedure.,CLEARED  [procedure  name],W/U,FANS 1/A
UM  236,Instruction to leave controlled airspace.,LEAVE  CONTROLLED  AIRSPACE,W/U,N/A
UM  82,Approval  to  deviate  up  to  the  specified  distance  from  the  cleared  route  in  the  specified direction.,CLEARED  TO  DEVIATE  UP  TO  [specified  distance]  [direction] OF ROUTE,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  83,Instruction  to  proceed  from  the  specified  position via the specified route.,AT  [position]  CLEARED  [route clearance],W/U,FANS 1/A
UM  84,Instruction  to  proceed  from  the  specified  position via the specified procedure.,AT  [position]  CLEARED  [procedure name],W/U,FANS 1/A
UM  85,Notification that a clearance to fly on the  specified route may be issued.  Note.— Avoid use of this message element  due to potential misinterpretation.,EXPECT [route clearance],R,FANS 1/A
UM  86,Notification that a clearance to fly on the  specified route from the specified position  may be issued.  Note.— Avoid use of this message element  due to potential misinterpretation.,AT  [position]  EXPECT  [route clearance],R,FANS 1/A
UM  87,Notification that a clearance to fly directly  to the specified position may be issued.  Note.— Avoid use of this message element  due to potential misinterpretation.,EXPECT  DIRECT  TO  [position],R,FANS 1/A
UM  88,Notification that a clearance to fly directly  from  the  first  specified  position  to  the  next specified position may be issued.  Note.— Avoid use of this message element  due to potential misinterpretation.,AT  [position]  EXPECT  DIRECT TO [position],R,FANS 1/A
UM  89,Notification that a clearance to fly directly  to  the  specified  position  commencing  at  the specified time may be issued.  Note.— Avoid use of this message element  due to potential misinterpretation.,AT  [time]  EXPECT  DIRECT TO [position],R,FANS 1/A
UM  90,Notification that a clearance to fly directly  to  the  specified  position  commencing  when  the  specified  level  is  reached  may  be issued.  Note.— Avoid use of this message element  due to potential misinterpretation.,AT  [level]  EXPECT  DIRECT TO [position],R,FANS 1/A
UM  91,Instruction to enter a holding pattern with  the  specified  characteristics  at  the  specified position and level.,HOLD  AT  [position]  MAINTAIN  [level]  INBOUND  TRACK  [degrees]  [direction]  TURNS  [leg  type]  or  HOLD  AT  [position]  MAINTAIN  [altitude]  INBOUND  TRACK  [degrees][direction]  TURN  LEG TIME [leg type],W/U,FANS 1/A
UM  92,Instruction to enter a holding pattern with  the  published  characteristics  at  the  specified position and level.,HOLD  AT  [position]  AS  PUBLISHED  MAINTAIN  [level],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  93,Notification  that  an  onwards  clearance  may be issued at the specified time.,EXPECT  FURTHER  CLEARANCE AT [time],R,FANS 1/A
UM  94,Instruction to turn left or right as specified  on to the specified heading.,TURN  [direction]  HEADING [degrees],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  95,Instruction to turn left or right as specified  on to the specified track.,TURN  [direction]  GROUND  TRACK  [degrees],W/U,FANS 1/A
UM  215,Instruction  to  turn  a  specified  number  of  degrees left or right.,TURN [direction] [degrees]  DEGREES,W/U,ATN B1  FANS 1/A- ATN B1
UM  190,Instruction to fly on the specified heading.,FLY HEADING [degrees],W/U,ATN B1  FANS 1/A- ATN B1
UM  96,Instruction  to  continue  to  fly  on  the  current heading.,CONTINUE  PRESENT  HEADING  or  FLY  PRESENT HEADING,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  97,Instruction to fly on the specified heading  from the specified position.,AT  [position]  FLY  HEADING [degrees],W/U,FANS 1/A
UM  221,Instruction  to  stop  turn  at  the  specified  heading  prior  to  reaching  the  previously  assigned heading.,STOP  TURN  HEADING  [degrees],W/U,N/A  (Urgent)
UM  98,Instruction  to  turn  immediately  left  or  right  as  specified  on  to  the  specified  heading.,IMMEDIATELY  TURN  [direction]  HEADING  [degrees],W/U,FANS 1/A  (Distress)
UM  99,Notification  that  a  clearance  may  be  issued  for  the  aircraft  to  fly  the  specified  procedure.,EXPECT [procedure name]  R,,FANS 1/A
UM  100,Notification  that  a  speed  instruction  may  be  issued  to  be  effective  at  the  specified  time.,AT [time] EXPECT [speed],R,FANS 1/A
UM  101,Notification  that  a  speed  instruction  may  be  issued  to  be  effective  at  the  specified  position.,AT  [position]  EXPECT  [speed],R,FANS 1/A
UM  102,Notification  that  a  speed  instruction  may  be  issued  to  be  effective  at  the  specified  level.  Note.— Avoid use of this message element  due to potential misinterpretation.,AT  [level]  EXPECT  [speed],R,FANS 1/A
UM  103,Notification that a speed range instruction  may  be  issued  to  be  effective  at  the  specified time.  Note.— Avoid use of this message element  due to potential misinterpretation.,AT [time] EXPECT [speed]  TO [speed],R,FANS 1/A
UM  104,Notification that a speed range instruction  may  be  issued  to  be  effective  at  the  specified position.  Note.— Avoid use of this message element  due to potential misinterpretation.,AT  [position]  EXPECT  [speed] TO [speed],R,FANS 1/A
