subfield,kind,syntax,semantic,used_in_primary_field,used_in_subfield
ifpdlong,compound,"'-' ""BEGIN"" ""IFPDLONG"" adexpmsg '-'  ""END"" ""IFPDLONG""",Complete information concerning an  individual flight plan.,ifpdlist,
ifpdsum,compound,"'-' ""IFPDSUM"" arcid adep ades eobt  orgn","Summary information concerning an  individual flight plan. It contains the  arcid, adep, ades, eobt and orgn  fields.",ifpdslist,
ilscat,basic,"'-' ""ILSCAT"" (“I” | “II” | “IIIa” | “IIIb” |  ""NOILS"")","The active status of ILS category (I,  II, IIIa, IIIb) or ILS not available.",,rwyinfo
lastnum,basic,"'-' ""LASTNUM"" 3{DIGIT}3",A three digit number indicating the  end of a sequence.,part,
lattd,basic,"'-' ""LATTD"" latitudelong ! latitudeside","Latitude in degrees, minutes,  seconds and direction (North or  South).",eetlat  geo,
longtd,basic,"'-' ""LONGTD"" longitudelong !  longitudeside","Longitude in degrees, minutes,  seconds and direction (East or  West).",eetlong  geo,
networktype,basic,"'-' ""NETWORKTYPE""  2{ALPHANUM}10",Indication of the type of network  used for a message exchange.,origin,addrinfo
num,basic,"'-' ""NUM"" 3{DIGIT}4",A three to four digit number.,extaddr  part  sequencedat a,airspace  airroute
penrate,basic,"'-' ""PENRATE"" 3{LIM_CHAR}7","The “pending rate”, used for ATFM  purposes.",,rateperiod
postproctxt,basic,"'-' ""POSTPROCTXT"" adexpmsg",Contains a complete ADEXP  message after it has been  processed.,adexptxt,
preproctxt,basic,"'-' ""PREPROCTXT"" adexpmsg",Contains a complete ADEXP  message prior to it being  processed  i.e. as it was received.,adexptxt,
pt,compound,"'-' ""PT"" ptid [(fl | flblock)] [sfl] [eto] [to]  [cto] [ptrte] [ptstay] [ptrfl] [ptrulchg]  [(ptspeed | ptmach)] [ptcrsclimb]  [ptdle]","Point along a route.  => Contains a point identification  and optionally;   - a flight level or flight level block,  - a supplementary flight level,  - a time reference(s),  - a cruise climb   - a routing indication  - an indication of a period of ‘special  activity’, i.e. that the flight will ‘stay’  in the area for a period of time which  can also be provided via the “dle”  indication if received as such in the  flight plan.  Change in:  - RFL, flight rules, speed/Mach No.",rtepts,
ptcrsclimb,compound,"'-' ""PTCRSCLIMB"" (crspeed | crmach)  crfl1 crfl2","Indication in the route of a flight of a  cruiseclimb. Giving the speed or  mach no. followed by the two levels  indicating the flight level band to be  occupied during the climb. The  second level may be ""PLUS"" where  the upper level is unknown.",,pt
ptdle,basic,‘-‘ ”PTDLE” timehhmm_elapsed,"An indication of the duration of a  delay or holding at the point, as per  ICAO Field 18 DLE/.",,pt
ptfltrul,basic,"'-' ""PTFLTRUL"" 'VFR' | 'IFR'",An indication of the flight rules which  are applicable at the point  concerned.,entrydata,
ptid,basic,"'-' ""PTID"" point","Point identification, either coded  designator or a name given  artificially (GEOxx, REFxx or  RENxx).",p afildata  altnz  cfl  coordata  crsclimb  depz  destz  entrydata  estdata  ignore  osition  ref  rename  stay  tto,pt
ptmach,basic,"'-' ""PTMACH"" machnumber","Mach number, in hundredths of a  unit, associated to a point on the  route.",ad  entrydata,pt
ptmilrul,basic,"'-' ""PTMILRUL"" 'OAT' | 'GAT'",An indication of the ‘military’ flight  rules which are applicable at the  point concerned.,entrydata,
ptrfl,basic,"'-' ""PTRFL"" flightlevel","Requested flight level, associated to  a point on the route.",ad  entrydata  stay,pt
ptrte,basic,"'-' ""PTRTE"" 2{LIM_CHAR}",The route of flight following the point  indicated. May be the complete  route to the destination aerodrome  or simply the routing element to the  next point.,,pt
ptrulchg,basic,"'-' ""PTRULCHG"" 1{rulechg   flighttypechg  ifpsprocess}3","Indication of a change in one or  more of “flight rules""(VFR/IFR), the  ""type of flight"" (OAT/GAT), and/or  the ifpsprocess (Stop/Start)",ad,pt
ptspeed,basic,"'-' ""PTSPEED"" spd",True airspeed (in kilometres per  hours or knots) associated to a point  on the route.,ad  entrydata  stay,pt
ptstay,basic,"'-' ""PTSTAY"" stayidentifier timehhmm","Indication within the filed route of  flight of a period of ‘special activity’  when the aircraft will ‘stay’ in the  area defined for the length of time  given, i.e. training, mid-air re- fuelling, etc.",ad,pt
rateperiod,compound,"'-' ""RATEPERIOD"" from until flowrate  penrate",A period of time during which the  given flow rates are applicable for  an ATFM Regulation.,ratepdlst,regcond
reldist,basic,"'-' ""RELDIST” 2{DIGIT}2",The percentage of the distance  along a route segment between 2  route points.,vec,
recvr,compound,"'-' ""RECVR"" fac",The receiver of the referenced  message.,msgref  refdata,
refatsrte,basic,"'-' ""REFATSRTE"" atsroute point  [country] point [country]","ATS route designator and identifiers  of first and last points. The points  listed may be ICAO identifiers or  artificially given GEOxx, RENxx or  REFxx points. The identifier of the  country within which the point is  located may optionally be included.  The end points must be consistent  with the route information.",,airroute
refid,basic,"'-' ""REFID"" refname","Identifier of a reference point made  of ""REF"" followed by a sequence  number (example : ""REF02"").",altnz  depz  destz  ref,
refloc,basic,"'-' ""REFLOC"" 1{LIM_CHAR}15",Reference location of an ATFM  Regulation.,rrteto  rrtefrom  tfv,exccond  regulation
regcond,compound,"'-' ""BEGIN"" ""REGCOND"" {rateperiod}  '-' ""END"" ""REGCOND""",List of time periods and their  respective flow rates for a particular  regulation.,,regulation
regdesc,basic,"'-' ""REGDESC"" 1{LIM_CHAR}",Description of an ATFM Regulation.,,regulation
regid,basic,"'-' ""REGID"" regulid",Identification of a flow management  “Regulation”.,,regulation
reglist,compound,"'-' ""BEGIN"" ""REGLIST"" regulation  [exccond] '-' ""END"" ""REGLIST""",List of “Regulations” for flow  management purposes.,fmplist,
regnum,basic,"'-' ""REGNUM"" 3{DIGIT}3 ! ""/"" !  2{DIGIT}2",A reference number for an ATFM  “Regulation”. Provides a unique  reference followed by a validity  indication.,,exccond  regulation
regreason,basic,"'-' ""REGREASON"" 4 {ALPHA} 12",The reason for an ATFM  Regulation.,,exccond  regulation
regulation,compound,"'-' ""REGULATION"" regnum regid  regdesc refloc startreg endreg [flblock]  [remark] [tfvid] [regreason] [regcond]",A “Regulation” imposed for flow  management purposes.,,reglist
remark,basic,"'-' ""REMARK"" 1{LIM_CHAR}","A remark about the item, the  description of which this field is a  part.",stayinfo,airspace  airroute  exccond  regulation
renid,basic,"'-' ""RENID"" renameid",Identifier given to a point which is  repeated in the route description.,rename,
respunit,basic,"'-' ""RESPUNIT"" 3{ALPHA}12",The responsible ATC Unit.,,airspace
rfpdlong,compound,"'-' ""BEGIN"" ""RFPDLONG"" {adexpmsg}  '-' ""END"" ""RFPDLONG""",Complete information concerning a  repetitive flight plan.,rfpdlist,
rfpdsum,compound,"'-' ""RFPDSUM"" arcid adep ades eobt  orgn days valfrom valuntil","Summary of the information  concerning a repetitive flight plan. It  contains the arcid, adep, ades, eobt,  orgn, days, valfrom and valuntil  fields.",rfpdslist,
rvrlimit,basic,"'-' ""RVRLIMIT"" 3{DIGIT}3",Runway Visual Range: operating  minima when special meteorological  conditions exist. Expressed in  meters.,rvrperiod,exccond
rwyavail,basic,‘-‘ “RWYAVAIL” (‘D’ | ‘A’ | ‘C’ | ‘B’),Availability of the runway:  D: open for departures  A: open for arrivals  C: closed  B: open for departures and arrivals,,rwyinfo
rwyid,basic,‘-‘ “RWYID” 2 { DIGIT } 2 ! (‘L’ | ‘R’ |  ‘C’),Runway identifier,,rwyinfo
rwyinfo,compound,‘-‘ “RWYINFO” rwyid rwyavail [ilscat],Contains configuration data for a  specific runway,rwylist,
sender,compound,"'-' ""SENDER"" fac",The sender of the referenced  message.,msgref  refdata,
seqnum,basic,"'-' ""SEQNUM"" 3{DIGIT}3",The serial number of the message  being sent (a 3 digit number unique  to the sender/receiver combination).,msgref  refdata,
sfl,basic,'-' SFL flightlevel ! ('A'|'B'),"Supplementary flight level. The flight  level at or above which or, at or  below which a flight has been or will  be co-ordinated to cross one point.  Consists of a flight level number and  a crossing condition (either 'A' if the  aircraft will cross the point at or  above the level, or 'B' if the aircraft  will cross the point at or below the  level).",cfl  coordata  estdata  propfl,pt
startreg,basic,"'-' ""STARTREG"" day!timehhmm",The time at which an ATFM  Regulation becomes effective.,,exccond  regulation
statid,basic,"'-' ""STATID"" coorstatusident",The indicator of the co-ordination  state of a flight.,cstat,
statreason,basic,"'-' ""STATREASON"" coorstatusreason",The reason for a change in the co- ordination status of a flight.,cstat,
stayident,basic,"'-' ""STAYIDENT"" stayidentifier",Identification of a period of ‘special  activity’ or a ‘stay’ within the route of  a flight.,stay  stayinfo,
sto,basic,"'-' ""STO"" timehhmm ! seconds","A generic time field which may  contain the time for a point or for an  aerodrome. The time may be an  estimated, calculated or actual time  depending upon its context.",p ad  osition,
sureqpt,basic,"'-' ""SUREQPT"" surclass ! “/” !  eqptstatus [! “/” ! sureqptcode]","Surveillance equipment class,  followed by a status value which  specifies the current status of the  equipment. When appropriate the  current capability for the class may  be provided.",eqcst,
